symbol,last_price,quote_vol_24h,best_bid,best_ask,spread_bps,open_interest,funding_rate
BTCUSDT,81220.00,5932461213.2157,81219.90,81220.00,0.01,57520.155,0.0001
ETHUSDT,2637.24,3898826384.7577,2637.24,2637.25,0.04,877401.29,0.0001
SOLUSDT,111.840,1040988797.42,111.830,111.840,0.89,6931593.4,0.0001
ZECUSDT,1535.91,792112307.6951,1535.88,1535.89,0.07,205743.93,0.0001
XRPUSDT,1.4294,614932912.1768,1.4293,1.4294,0.7,211064433.8,0.0001
HYPEUSDT,92.040,368700942.3746,92.040,92.050,1.09,3390167.82,0.0001
NEARUSDT,3.6600,354931854.0106,3.6590,3.6600,2.73,53006698,0.0001
AKEUSDT,0.0621280,264846774.4281,0.0621150,0.0621510,5.79,589153600,-5.346e-05
ENAUSDT,0.19000,171444067.6595,0.18999,0.19000,0.53,416582905,5e-05
DOGEUSDT,0.08811,141746661.7803,0.08811,0.08812,1.13,1490766115,0.0001
UNIUSDT,9.061,128501334.6958,9.060,9.061,1.1,11561670.4,5.931e-05
ARBUSDT,0.21259,123132859.5281,0.21259,0.21260,0.47,219922450.7,0.0001
SUIUSDT,0.86440,122594703.066,0.86440,0.86450,1.16,93626970,0.0001
ADAUSDT,0.2259,102594355.7342,0.2258,0.2259,4.43,287677365,0.0001
SOXLUSDT,120.29,93957972.2142,120.29,120.30,0.83,306432.32,0
SNDKUSDT,1784.35,92067850.6414,1784.38,1784.43,0.28,12026.04,0
1000PEPEUSDT,0.0038190,76613978.7611,0.0038190,0.0038200,2.62,18200073700,8.708e-05
XAUUSDT,4381.27,71082541.2033,4381.28,4381.29,0.02,20583.295,0
ONDOUSDT,0.4108,70788551.2772,0.4108,0.4109,2.43,147577140,5e-05
XMRUSDT,588.50,66679838.569,588.50,588.51,0.17,83853.6,0.00029545
APTUSDT,0.7448,65582848.5405,0.7447,0.7448,1.34,35422107.38,0.0001
WLDUSDT,0.4262,63236983.2265,0.4262,0.4263,2.35,139220735.3,7.094e-05
AVAXUSDT,9.240,62159596.8605,9.240,9.241,1.08,7243809.2,0.0001
STRKUSDT,0.04527,61643275.3041,0.04526,0.04529,6.63,344156730,5e-05
BRUSDT,0.94766,60394286.0127,0.94706,0.94785,8.34,13657155,0.00021162
AAVEUSDT,142.90,60218381.9209,142.89,142.90,0.7,400766.08,0.0001
CLUSDT,96.190,59624815.499,96.180,96.190,1.04,262309.42,0
TAOUSDT,270.24,56198331.2574,270.23,270.24,0.37,171505.819,5e-05
MYXUSDT,0.09642,55301543.4071,0.09631,0.09642,11.41,54811231,0.00018676
BNBUSDT,765.40,55174937.257,765.30,765.40,1.31,175011.57,-0.000133
PUMPFUNUSDT,0.0041300,53041837.2087,0.0041320,0.0041330,2.42,11191258800,5e-05
LSKUSDT,0.43909,51597713.2254,0.43913,0.43917,0.91,27441821.9,-0.00268968
SPCXUSDT,152.79,49750112.6934,152.79,152.80,0.65,206801.2,0
FUSDT,0.004237,49160815.0544,0.004235,0.004237,4.72,618352357,-0.0035039
LINKUSDT,12.504,45404024.8006,12.503,12.504,0.8,6067817.3,0.0001
TRUMPUSDT,2.048,37592820.0826,2.047,2.048,4.88,14448085.8,5e-05
LTCUSDT,57.27,37277567.041,57.25,57.26,1.75,1271792.5,0.0001
PONSUSDT,0.6575,36446089.0225,0.6576,0.6577,1.52,29440506,5.021e-05
INJUSDT,7.5230,35881559.6342,7.5220,7.5230,1.33,2745188.3,0.0001
AAPLUSDT,335.35,34021724.7839,335.35,335.36,0.3,16127.26,0
OPUSDT,0.12452,34007203.3555,0.12455,0.12456,0.8,127286692.4,0.0001
USELESSUSDT,0.26778,33000809.1477,0.26775,0.26776,0.37,93800961,0.00021698
BCHUSDT,251.30,32223220.149,251.10,251.20,3.98,149582.65,4.784e-05
VVVUSDT,28.1490,29219945.8042,28.1500,28.1530,1.07,1315049.57,5e-05
MSTRUSDT,156.16,27876170.4961,156.15,156.16,0.64,86153.58,0
XLMUSDT,0.19380,27839155.7417,0.19370,0.19380,5.16,184442611,0.0001
FARTCOINUSDT,0.16161,27153839.6115,0.16159,0.16161,1.24,154957285,5e-05
PIEVERSEUSDT,1.59840,27013907.361,1.59820,1.59950,8.13,6208770,5e-05
DASHUSDT,60.30,26790870.9138,60.29,60.30,1.66,192632.47,0.0001
TSLAUSDT,364.92,24595818.71,364.92,364.94,0.55,25790.86,0
XPLUSDT,0.09103,23458202.4568,0.09102,0.09104,2.2,444953446,5e-05
ARUSDT,4.6010,22960687.3679,4.5980,4.6020,8.7,1266995.9,-0.0001801
XAUTUSDT,4373.90,22562973.6456,4373.80,4373.90,0.23,29039.27,5e-05
XAGUSDT,66.53,21367201.707,66.53,66.54,1.5,343881.53,0
AEROUSDT,0.6774,21273772.5638,0.6774,0.6776,2.95,31386072,5e-05
MUUSDT,1008.22,20701560.2037,1008.09,1008.22,1.29,15896.96,0
SNXXUSDT,17.83,19537761.7235,17.83,17.84,5.61,204397.44,0
SKHYUSDT,186.06,19524330.7369,186.07,186.08,0.54,81687.2,0
HBARUSDT,0.08059,19242522.2886,0.08059,0.08060,1.24,307524776,0.0001
JPMUSDT,350.50,18798688.3591,350.40,350.73,9.41,598.76,0
SAMSUNGUSDT,187.86,18621584.7437,187.87,187.88,0.53,11131.36,0
FILUSDT,0.9865,18403438.8638,0.9864,0.9865,1.01,15114672.7,0.0001
ASTERUSDT,0.7662,18305136.3574,0.7661,0.7662,1.31,65363018,5e-05
ZAMAUSDT,0.07722,17950959.1452,0.07717,0.07724,9.07,88396224,0.00038355
DOTUSDT,1.1298,17017718.3294,1.1297,1.1298,0.89,19627957,0.0001
PENGUUSDT,0.007973,16871284.0851,0.007972,0.007973,1.25,2467248780,5e-05
SKHYNIXUSDT,1334.38,16834400.0273,1334.59,1334.82,1.72,14079.026,0
WIFUSDT,0.21200,16546345.5482,0.21190,0.21200,4.72,71092398,5e-05
B2USDT,0.8223,16354454.8159,0.8227,0.8238,13.36,4208697,5e-05
ETHFIUSDT,0.7418,16193214.637,0.7417,0.7419,2.7,25896448.2,5e-05
JUPUSDT,0.27660,14893911.8582,0.27660,0.27670,3.61,56568080,5e-05
KORUUSDT,19.68,14717381.4853,19.68,19.69,5.08,310203.06,0
CRCLUSDT,91.97,14222328.6781,91.98,92.00,2.17,135923.1,0
POLUSDT,0.10479,14158160.974,0.10476,0.10480,3.82,142854004,0
MARSCOINUSDT,0.10360,13918907.1048,0.10359,0.10363,3.86,64675200,5e-05
WLFIUSDT,0.05915,13820470.901,0.05915,0.05916,1.69,338560234,4.242e-05
CRVUSDT,0.3409,12587371.6933,0.3409,0.3410,2.93,72987900,0.0001
NVDAUSDT,222.14,12446792.2392,222.14,222.15,0.45,58450.2,0
PENDLEUSDT,2.7580,12381881.9323,2.7580,2.7600,7.25,6661266,0.0001
RAYDIUMUSDT,1.8254,11856695.9422,1.8222,1.8232,5.49,4125346.6,5e-05
XTZUSDT,0.3305,11703513.7672,0.3304,0.3307,9.08,10390011,-0.00063697
BTWUSDT,0.63323,11678643.7139,0.63330,0.63372,6.63,19017690,0.00047135
CASHCATUSDT,0.21569,11623647.0886,0.21562,0.21575,6.03,63884700,5e-05
MORPHOUSDT,2.7290,11169005.298,2.7300,2.7320,7.32,3646294,5e-05
SAGAUSDT,0.027736,10658646.8576,0.027726,0.027744,6.49,83709695.3,5e-05
STGUSDT,0.16262,10639417.0626,0.16258,0.16262,2.46,5564873,0.0001
ATOMUSDT,1.7410,10396193.5511,1.7410,1.7420,5.74,8817455.8,5.39e-05
1000BONKUSDT,0.0030080,10261342.6307,0.0030080,0.0030090,3.32,2968861400,5e-05
ZENUSDT,7.945,10223031.977,7.945,7.947,2.52,564269.8,0.0001
TIAUSDT,0.4120,9833263.5445,0.4119,0.4120,2.43,19731850.2,5e-05
EWYUSDT,180.45,9785641.9109,180.44,180.45,0.55,26124.1,0
INTCUSDT,108.63,9707445.3443,108.61,108.64,2.76,104362.68,0
ZROUSDT,1.1409,9693022.7981,1.1406,1.1409,2.63,15505351.4,5e-05
MONUSDT,0.024880,9688500.4383,0.024880,0.024900,8.04,803714262,0.0001
AEHRUSDT,94.08,9291654.5098,94.05,94.15,10.63,4144.76,0
JTOUSDT,0.4551,9012027.5413,0.4551,0.4552,2.2,10959060.8,5e-05
SOXSUSDT,42.58,8973764.2377,42.56,42.58,4.7,90187.66,0
DRAMUSDT,59.220,8888887.653,59.220,59.230,1.69,135872,0
SHIB1000USDT,0.005459,8642968.8844,0.005459,0.005460,1.83,1615186620,0.0001
VIRTUALUSDT,0.6761,8523609.1885,0.6764,0.6765,1.48,20833900,5e-05
ICPUSDT,2.875,8466127.036,2.874,2.875,3.48,5240901.2,0.0001
MNTUSDT,0.60890,8446012.7781,0.60890,0.60900,1.64,66843959.6,0.0001
CHIPUSDT,0.04524,8018447.0295,0.04524,0.04528,8.84,240406760,5e-05
TRXUSDT,0.33770,7990766.1333,0.33760,0.33770,2.96,155984276,1.8e-05
COTIUSDT,0.021003,7846360.3389,0.021005,0.021007,0.95,297705704,0.0001
EVAAUSDT,0.6140,7627482.1451,0.6136,0.6143,11.4,3240769,5e-05
GRAMUSDT,1.3750,7325120.8034,1.3740,1.3750,7.28,20415487.2,5e-05
EIGENUSDT,0.23610,7238672.6991,0.23600,0.23620,8.47,41616386,-0.00015553
METAUSDT,670.03,7150762.5362,670.00,670.08,1.19,8217.1,0
SUSDT,0.03252,7063388.0143,0.03251,0.03253,6.15,148462044,5e-05
VETUSDT,0.008521,6937691.1189,0.008517,0.008521,4.7,739977235,0.0001
BZUSDT,99.46,6584531.1299,99.45,99.46,1.01,113707.64,0
SPYUSDT,762.66,6498331.4534,762.65,762.66,0.13,8065.98,0
DRIFTUSDT,0.015730,6440590.6381,0.015710,0.015720,6.36,161519368,5e-05
GOOGLUSDT,350.40,6412036.4863,350.39,350.41,0.57,32465.12,0
ETCUSDT,8.465,6406829.6123,8.461,8.463,2.36,1241863.4,0.0001
TEMUSDT,78.21,6388518.9956,78.21,78.30,11.5,2807.64,0
SPXUSDT,0.4900,6372949.1426,0.4899,0.4901,4.08,23661910,5e-05
ALGOUSDT,0.09854,6316107.9589,0.09854,0.09855,1.01,89821186.4,0.0001
GRASSUSDT,0.34320,6244197.8383,0.34350,0.34370,5.82,49877398,5e-05
SEIUSDT,0.04892,6190970.3909,0.04891,0.04892,2.04,178763246,0.0001
FLOCKUSDT,0.07361,6179776.7535,0.07355,0.07360,6.8,51844096,5e-05
HDUSDT,301.76,6167344.7497,301.82,301.86,1.33,272.92,0
CUSDT,0.06812,6098226.5086,0.06807,0.06820,19.08,12566222,5e-05
LDOUSDT,0.4016,6096432.6469,0.4017,0.4018,2.49,36809226.2,0.0001
RENDERUSDT,1.5800,5950167.6656,1.5790,1.5810,12.66,6062325.3,5e-05
NBISUSDT,219.64,5789906.51,219.75,219.82,3.18,23256.12,0
